season,season_title,first_name,last_name,age,birthdate,gender,race,orientation,profession,hometown,homestate,finish
14,Survivor: Fiji,Edgardo,Rivera,28,1978-10-05,M,Latin American,Straight,Advertising Executive,Miami Beach,Florida,9
14,Survivor: Fiji,Mookie,Lee,25,1981-11-10,M,Asian American,Straight,Business Consultant,Chicago,Illinois,8
14,Survivor: Fiji,Alex,Angarita,28,1978-04-20,M,Latin American,Straight,Attorney,Los Angeles,California,7
14,Survivor: Fiji,Stacy,Kimball,27,1979-10-01,F,Asian American,Straight,Web Producer,Boulder,Colorado,6
14,Survivor: Fiji,Boo,Bernis,34,1972-06-21,M,White,Straight,Construction Worker,Lafayette,Louisiana,5
14,Survivor: Fiji,Yau-Man,Chan,54,1952-08-26,M,Asian American,Straight,Internet Technology Director,Martinez,California,4
14,Survivor: Fiji,Cassandra,Franklin,42,1964-04-19,F,African American,Straight,College Administrator,Los Angeles,California,2
14,Survivor: Fiji,Dreamz,Herd,25,1981-12-15,M,African American,Straight,Cheerleading Coach,Wilmington,North Carolina,2
14,Survivor: Fiji,Earl,Cole,35,1971-04-09,M,African American,Straight,Advertising Executive,Santa Monica,California,1
15,Survivor: China,Chicken,Morris,47,1959-09-02,M,White,Straight,Chicken Farmer,Marion,Virginia,16
15,Survivor: China,Ashley,Massaro,28,1979-05-26,F,White,Straight,Professional Wrestler,East Northport,New York,15
15,Survivor: China,Leslie,Nease,38,1969-03-25,F,White,Straight,Christian Radio Host,Tega Cay,South Carolina,14
15,Survivor: China,Dave,Cruser,37,1969-10-26,M,White,Straight,Former Model,Simi Valley,California,13
15,Survivor: China,Aaron,Reisberger,32,1975-04-25,M,White,Straight,Surfing Instructor,Venice,California,12
15,Survivor: China,Sherea,Lloyd,26,1981-07-31,F,African American,Straight,Elementary Teacher,Atlanta,Georgia,11
15,Survivor: China,Jaime,Dugan,22,1985-06-30,F,White,Straight,Student,Columbia,South Carolina,10
15,Survivor: China,Jean-Robert,Bellande,36,1970-09-17,M,White,Straight,Profession Poker Player,Las Vegas,Nevada,9
15,Survivor: China,Frosti,Zernow,20,1987-02-15,M,Asian American,Straight,Student/Athlete,Chicago,Illinois,8
15,Survivor: China,James,Clement,30,1977-03-09,M,African American,Straight,Gravedigger,Lafayette,Louisiana,7
15,Survivor: China,Erik,Huffman,26,1981-01-31,M,White,Straight,Musician,Nashville,Tennessee,6
15,Survivor: China,Peih-Gee,Law,29,1978-04-07,F,Asian American,Straight,Jeweler,Marina Del Rey,California,5
15,Survivor: China,Denise,Martin,40,1967-05-05,F,White,Straight,School Lunch Lady,Douglas,Massachusetts,4
15,Survivor: China,Amanda,Kimmel,23,1984-08-03,F,White,Straight,Hiking Guide,Kalispell,Montana,3
15,Survivor: China,Courtney,Yates,26,1981-03-26,F,White,Straight,Waitress,New York,New York,2
15,Survivor: China,Todd,Herzog,22,1985-01-29,M,White,LGBT,Flight Attendant,Pleasant Grove,Utah,1
16,Survivor: Micronesia,Jon,Dalton,33,1974-03-11,M,White,Straight,Art Consultant,Danville,Virginia,20
16,Survivor: Micronesia,Mary,Sartain,29,1978-11-11,F,White,Straight,Real Estate Manager,Emeryville,California,19
16,Survivor: Micronesia,Yau-Man,Chan,55,1952-08-26,M,Asian American,Straight,Internet Technology Director,Martinez,California,18
16,Survivor: Micronesia,Mikey,Bortone,34,1973-12-29,M,White,Straight,Aspiring Writer,Los Angeles,California,17
16,Survivor: Micronesia,Joel,Anderson,32,1975-06-01,M,White,Straight,Firefighter,Avondale,Arizona,16
16,Survivor: Micronesia,Jonathan,Penner,45,1962-03-05,M,White,Straight,Writer,Los Angeles,California,15
16,Survivor: Micronesia,Chet,Welch,48,1959-10-22,M,White,LGBT,Pageant Coach,Ford City,Pennsylvania,14
16,Survivor: Micronesia,Kathy,Sleckman,45,1962-08-14,F,White,Straight,Golf Course Vendor,Glen Ellyn,Illinois,13
16,Survivor: Micronesia,Tracy,Hughes-Wolf,43,1964-07-09,F,White,Straight,Residential Builder,Fredericksburg,Virginia,12
16,Survivor: Micronesia,Ami,Cusack,34,1973-01-25,F,White,LGBT,Nanny,Golden,Colorado,11
16,Survivor: Micronesia,Eliza,Orlins,25,1982-12-25,F,White,Straight,Law School Student,New York,New York,10
16,Survivor: Micronesia,Ozzy,Lusth,26,1981-08-23,M,Latin American,LGBT,Photographer,Venice,California,9
16,Survivor: Micronesia,Jason,Siska,22,1985-03-04,M,White,Straight,Gymnastics Coach,Fox River Grove,Illinois,8
16,Survivor: Micronesia,James,Clement,30,1977-03-09,M,African American,Straight,Gravedigger,Lafayette,Louisiana,7
16,Survivor: Micronesia,Alexis,Jones,24,1983-07-06,F,White,Straight,Motivational Speaker,Beverly Hills,California,6
16,Survivor: Micronesia,Erik,Reichenbach,22,1985-11-27,M,White,Straight,Ice Cream Scooper,Pinckney,Michigan,5
16,Survivor: Micronesia,Natalie,Bolton,32,1975-12-31,F,Asian American,LGBT,Personal Trainer,Los Angeles,California,4
16,Survivor: Micronesia,Cirie,Fields,37,1970-07-18,F,African American,Straight,Nurse,Norwalk,Connecticut,3
16,Survivor: Micronesia,Amanda,Kimmel,23,1984-08-03,F,White,Straight,Aspiring Designer,Los Angeles,California,2
16,Survivor: Micronesia,Parvati,Shallow,25,1982-09-21,F,White,Straight,Charity Organizer,Los Angeles,California,1
17,Survivor: Gabon,Michelle,Chase,24,1984-03-07,F,White,Straight,Music Producer,Los Angeles,California,18
17,Survivor: Gabon,Gillian,Larson,61,1947-02-24,F,White,Straight,Retired Nurse,Temecula,California,17
17,Survivor: Gabon,Paloma,Soto-Castillo,24,1984-08-24,F,Latin American,Straight,Student,Downey,California,16
17,Survivor: Gabon,Jacquie,Berg,25,1982-09-10,F,White,Straight,Medical Saleswoman,Santa Barbara,California,15
17,Survivor: Gabon,GC,Brown,26,1982-07-13,M,African American,Straight,Maintenance Man,Portland,Oregon,14
17,Survivor: Gabon,Kelly,Czarnecki,22,1986-04-04,F,White,Straight,Retail Saleswoman,Buffalo Grove,Illinois,13
17,Survivor: Gabon,Ace,Gordon,27,1980-09-03,M,White,Straight,Jewelry Salesman/Photographer,Naples,Florida,12
17,Survivor: Gabon,Dan,Kay,32,1976-06-30,M,White,Straight,Attorney,Boston,Massachusetts,11
17,Survivor: Gabon,Marcus,Lehman,28,1979-10-03,M,Latin American,Straight,Doctor,Atlanta,Georgia,10
17,Survivor: Gabon,Charlie,Herschel,29,1979-05-12,M,White,LGBT,Attorney,New York,New York,9
17,Survivor: Gabon,Randy,Bailey,49,1959-03-31,M,White,Straight,Wedding Videographer,Eagle Rock,Missouri,8
17,Survivor: Gabon,Corinne,Kaplan,29,1979-01-17,F,White,Straight,Pharmaceutical Saleswoman,Los Angeles,California,7
17,Survivor: Gabon,Crystal,Cox,29,1979-03-28,F,African American,Straight,Olympic Gold Medalist,Durham,North Carolina,6
17,Survivor: Gabon,Ken,Hoang,22,1985-10-10,M,Asian American,Straight,Professional Gamer,Westminster,California,5
17,Survivor: Gabon,Matty,Whitmore,29,1978-12-18,M,White,Straight,Personal Trainer,Pacific Palisades,California,4
17,Survivor: Gabon,Sugar,Kiper,29,1979-02-22,F,White,Straight,Pin-Up Model,Brooklyn,New York,3
17,Survivor: Gabon,Susie,Smith,47,1960-10-24,F,Latin American,Straight,Hairdresser,Charles City,Iowa,2
17,Survivor: Gabon,Bob,Crowley,57,1951-02-25,M,White,Straight,Physics Teacher,Portland,Maine,1
18,Survivor: Tocantins,Carolina,Eastwood,26,1981-10-27,F,Latin American,Straight,Bartender,West Hollywood,California,16
18,Survivor: Tocantins,Candace,Smith,31,1977-02-01,F,African American,Straight,Attorney,Dayton,Ohio,15
18,Survivor: Tocantins,Jerry,Sims,49,1959-05-18,M,African American,Straight,U.S. Army Sergeant,Rock Hill,South Carolina,14
18,Survivor: Tocantins,Sandy,Burgin,53,1955-07-01,F,White,Straight,Bus Driver,Louisville,Kentucky,13
18,Survivor: Tocantins,Spencer,Duhm,19,1989-12-20,M,White,LGBT,Student,Lakeland,Florida,12
18,Survivor: Tocantins,Sydney,Wheeler,24,1984-05-11,F,White,Straight,Model,Raleigh,North Carolina,11
18,Survivor: Tocantins,Joe,Dowdle,26,1982-06-29,M,White,Straight,Real Estate Salesman,Austin,Texas,10
18,Survivor: Tocantins,Brendan,Synnott,30,1978-09-28,M,White,Straight,Entrepreneur,New York,New York,9
18,Survivor: Tocantins,Tyson,Apostol,29,1979-06-17,M,White,Straight,Professional Cyclist,Lindon,Utah,8
18,Survivor: Tocantins,Sierra,Reed,23,1985-09-29,F,White,Straight,Model,Los Angeles,California,7
18,Survivor: Tocantins,Debbie,Beebe,46,1962-09-28,F,White,Straight,School Principal,Auburn,Alabama,6
18,Survivor: Tocantins,Coach,Wade,37,1971-09-18,M,White,Straight,Soccer Coach/Musician,Bolivar,Missouri,5
18,Survivor: Tocantins,Taj,Johnson-George,37,1971-04-29,F,African American,Straight,Former Pop Star,Nashville,Tennessee,4
18,Survivor: Tocantins,Erinn,Lobdell,26,1982-10-21,F,White,Straight,Hairdresser,Waukesha,Wisconsin,3
18,Survivor: Tocantins,Stephen,Fishbach,29,1979-01-24,M,White,Straight,Corporate Consultant,New York,New York,2
18,Survivor: Tocantins,J.T.,Thomas,24,1984-06-23,M,White,Straight,Cattle Rancher,Samson,Alabama,1
19,Survivor: Samoa,Marisa,Calihan,26,1983-07-26,F,White,Straight,Student,Cincinnati,Ohio,20
19,Survivor: Samoa,Mike,Borassi,62,1947-03-13,M,White,Straight,Personal Chef,Marina del Rey,California,19
19,Survivor: Samoa,Betsy,Bolan,48,1961-03-20,F,White,Straight,Police Officer,Campton,New Hampshire,18
19,Survivor: Samoa,Ben,Browning,28,1980-08-28,M,White,Straight,Bar Manager,Los Angeles,California,17
19,Survivor: Samoa,Yasmin,Giles,33,1975-08-29,F,African American,Straight,Hairstylist,Los Angeles,California,16
19,Survivor: Samoa,Ashley,Trainer,22,1987-02-27,F,White,Straight,Spa Saleswoman,Maple Grove,Minnesota,15
19,Survivor: Samoa,Russell,Swan,42,1967-02-17,M,African American,Straight,Attorney,Glenside,Pennsylvania,14
19,Survivor: Samoa,Liz,Kim,33,1975-11-24,F,Asian American,Straight,Urban Planner,New York,New York,13
19,Survivor: Samoa,Erik,Cardona,28,1981-04-13,M,Latin American,Straight,Bartender,Ontario,California,12
19,Survivor: Samoa,Kelly,Sharbaugh,25,1983-12-26,F,White,Straight,Hairstylist,Los Angeles,California,11
19,Survivor: Samoa,Laura,Morett,39,1969-07-30,F,White,Straight,Office Manager,Salem,Oregon,10
19,Survivor: Samoa,John,Fincher,25,1983-08-16,M,Latin American,Straight,Rocket Scientist,Los Angeles,California,9
19,Survivor: Samoa,Dave,Ball,38,1970-08-13,M,White,Straight,Fitness Instructor,Los Angeles,California,8
19,Survivor: Samoa,Monica,Padilla,25,1984-07-14,F,Latin American,Straight,Law Student,San Diego,California,7
19,Survivor: Samoa,Shambo,Waters,45,1964-04-25,F,White,LGBT,Saleswoman,Renton,Washington,6
19,Survivor: Samoa,Jaison,Robinson,28,1980-09-25,M,African American,Straight,Law Student,Chicago,Illinois,5
19,Survivor: Samoa,Brett,Clouser,23,1985-12-27,M,White,Straight,T-shirt Designer,Los Angeles,California,4
19,Survivor: Samoa,Mick,Trimming,33,1976-05-10,M,White,Straight,Doctor,Los Angeles,California,3
19,Survivor: Samoa,Russell,Hantz,36,1972-10-10,M,White,Straight,Oil Company Owner,Dayton,Texas,2
19,Survivor: Samoa,Natalie,White,26,1983-04-22,F,White,Straight,Pharmaceutical Saleswoman,Van Buren,Arkansas,1
20,Survivor: Heroes vs. Villains,Sugar,Kiper,30,1979-02-22,F,White,Straight,Pin-Up Model,Los Angeles,California,20
20,Survivor: Heroes vs. Villains,Stephenie,LaGrossa,29,1979-12-06,F,White,Straight,Pharmaceutical Sales Representative,Philadelphia,Pennsylvania,19
20,Survivor: Heroes vs. Villains,Randy,Bailey,50,1959-03-31,M,White,Straight,Wedding Videographer,Eagle Rock,Missouri,18
20,Survivor: Heroes vs. Villains,Cirie,Fields,39,1970-07-18,F,African American,Straight,Nurse,Norwalk,Connecticut,17
20,Survivor: Heroes vs. Villains,Tom,Westman,45,1964-01-04,M,White,Straight,Motivational Speaker,Sayville,New York,16
20,Survivor: Heroes vs. Villains,Tyson,Apostol,29,1979-06-17,M,White,Straight,Former Professional Cyclist,Lindon,Utah,15
20,Survivor: Heroes vs. Villains,James,Clement,32,1977-03-09,M,African American,Straight,Gravedigger,Lafayette,Louisiana,14
20,Survivor: Heroes vs. Villains,Rob,Mariano,33,1975-12-25,M,White,Straight,Construction Worker,Pensacola,Florida,13
20,Survivor: Heroes vs. Villains,Coach,Wade,38,1971-09-18,M,White,Straight,Soccer Coach/Musician,Los Angeles,California,12
20,Survivor: Heroes vs. Villains,Courtney,Yates,29,1981-03-26,F,White,Straight,Waitress,New York,New York,11
20,Survivor: Heroes vs. Villains,J.T.,Thomas,25,1984-06-23,M,White,Straight,Cattle Rancher,Samson,Alabama,10
20,Survivor: Heroes vs. Villains,Amanda,Kimmel,25,1984-08-03,F,White,Straight,Aspiring Designer,Los Angeles,California,9
20,Survivor: Heroes vs. Villains,Candice,Cody,27,1982-11-12,F,White,Straight,Physician,Washington,District of Columbia,8
20,Survivor: Heroes vs. Villains,Danielle,DiLorenzo,28,1981-06-03,F,White,Straight,Medical Sales Representative,Pompano Beach,Florida,7
20,Survivor: Heroes vs. Villains,Rupert,Boneham,45,1964-01-27,M,White,Straight,Troubled Teens Mentor,Indianapolis,Indiana,6
20,Survivor: Heroes vs. Villains,Colby,Donaldson,35,1974-04-01,M,White,Straight,Actor,Dallas,Texas,5
20,Survivor: Heroes vs. Villains,Jerri,Manthey,38,1970-09-05,F,White,Straight,Actress,Los Angeles,California,4
20,Survivor: Heroes vs. Villains,Russell,Hantz,36,1972-10-10,M,White,Straight,Oil Company Owner,Dayton,Texas,3
20,Survivor: Heroes vs. Villains,Parvati,Shallow,27,1982-09-21,F,White,Straight,Charity Organizer,Los Angeles,California,2
20,Survivor: Heroes vs. Villains,Sandra,Diaz-Twine,35,1974-07-30,F,Latin American,Straight,Office Assistant,Fayetteville,North Carolina,1
21,Survivor: Nicaragua,Wendy,DeSmidt-Kohlhoff,48,1961-12-13,F,White,Straight,Goat Rancher,Fromberg,Montana,20
21,Survivor: Nicaragua,Shannon,Elkins,30,1979-12-04,M,White,Straight,Pest Control Company Owner,Lafayette,Louisiana,19
21,Survivor: Nicaragua,Jimmy,Johnson,67,1943-07-16,M,White,Straight,Former NFL Coach,Islamorada,Florida,18
21,Survivor: Nicaragua,Jimmy,Tarantino,48,1962-09-07,M,White,Straight,Commercial Fisherman,Gloucester,Massachusetts,17
21,Survivor: Nicaragua,Tyrone,Davis,42,1967-09-24,M,African American,Straight,Firefighter,Inglewood,California,16
21,Survivor: Nicaragua,Kelly,Bruno,26,1984-03-23,F,White,Straight,Medical Student,Durham,North Carolina,15
21,Survivor: Nicaragua,Yve,Rojas,41,1969-03-09,F,Latin American,Straight,Homemaker,Kansas City,Missouri,14
21,Survivor: Nicaragua,Jill,Behm,43,1967-01-18,F,White,Straight,ER Doctor,Erie,Pennsylvania,13
21,Survivor: Nicaragua,Alina,Wilson,23,1987-02-20,F,White,Straight,Art Student,Downey,California,12
21,Survivor: Nicaragua,Marty,Piombo,48,1961-11-11,M,White,Straight,Technology Executive,Mill Valley,California,11
21,Survivor: Nicaragua,Brenda,Lowe,27,1982-11-03,F,Asian American,Straight,Paddleboard Company Owner,Miami,Florida,10
21,Survivor: Nicaragua,NaOnka,Mixon,27,1983-02-17,F,African American,Straight,P.E. Teacher,Los Angeles,California,9
21,Survivor: Nicaragua,Kelly,Shinn,20,1990-05-05,F,White,Straight,Nursing Student,Mesa,Arizona,8
21,Survivor: Nicaragua,Benry,Henry,24,1986-06-25,M,White,Straight,Club Promoter,Los Angeles,California,7
21,Survivor: Nicaragua,Jane,Bright,56,1953-12-13,F,White,Straight,Dog Trainer,Jackson Springs,North Carolina,6
21,Survivor: Nicaragua,Dan,Lembo,63,1946-10-07,M,White,Straight,Real Estate Executive,Watermill,New York,5
21,Survivor: Nicaragua,Holly,Hoffman,44,1966-03-15,F,White,Straight,Swim Coach,Eureka,South Dakota,4
21,Survivor: Nicaragua,Sash,Lenahan,30,1979-11-22,M,African American,Straight,Real Estate Broker,New York,New York,3
21,Survivor: Nicaragua,Chase,Rice,24,1985-09-19,M,White,Straight,Professional Racecar Jackman,Fairview,North Carolina,2
21,Survivor: Nicaragua,Fabio,Birza,21,1989-06-12,M,White,Straight,Student,Venice,California,1
22,Survivor: Redemption Island,Francesca,Hogi,36,1974-11-03,F,African American,Straight,Attorney,Washington,District of Columbia,18
22,Survivor: Redemption Island,Russell,Hantz,38,1972-10-10,M,White,Straight,Oil Company Owner,Dayton,Texas,17
22,Survivor: Redemption Island,Kristina,Kell,46,1964-12-26,F,White,Straight,Law Student,Malibu,California,16
22,Survivor: Redemption Island,Krista,Klumpp,25,1985-07-27,F,White,Straight,Pharmaceutical Representative,Columbia,South Carolina,15
22,Survivor: Redemption Island,Stephanie,Valencia,26,1985-02-03,F,Latin American,Straight,Waitress,Long Beach,California,14
22,Survivor: Redemption Island,Sarita,White,36,1974-10-02,F,White,Straight,Visual Effects Producer,Santa Monica,California,13
22,Survivor: Redemption Island,David,Murphy,31,1979-07-16,M,White,Straight,Defense Attorney,West Hollywood,California,12
22,Survivor: Redemption Island,Julie,Wolfe,50,1960-05-11,F,White,Straight,Firefighter,Oceanside,California,11
22,Survivor: Redemption Island,Steve,Wright,51,1959-04-08,M,White,Straight,Ex-NFL Player,Huntington Beach,California,10
22,Survivor: Redemption Island,Ralph,Kiser,45,1965-10-27,M,White,Straight,Farmer,Lebanon,Virginia,9
22,Survivor: Redemption Island,Grant,Mattos,29,1981-03-12,M,White,Straight,Ex-NFL Player,West Hollywood,California,8
22,Survivor: Redemption Island,Matt,Elrod,22,1988-10-02,M,White,Straight,Pre-Med Student,Nashville,Tennessee,7
22,Survivor: Redemption Island,Mike,Chiesl,31,1979-09-15,M,White,Straight,Iraq War Veteran,Del Mar,California,6
22,Survivor: Redemption Island,Andrea,Boehlke,21,1989-05-10,F,White,Straight,Student,Random Lake,Wisconsin,5
22,Survivor: Redemption Island,Ashley,Underwood,25,1985-02-08,F,White,Straight,Nurse,Benton,Maine,4
22,Survivor: Redemption Island,Natalie,Tenerelli,19,1991-05-06,F,White,Straight,Professional Dancer,Acton,California,3
22,Survivor: Redemption Island,Phillip,Sheppard,52,1958-03-12,M,African American,Straight,Former Federal Agent?,Santa Monica,California,2
22,Survivor: Redemption Island,Rob,Mariano,34,1975-12-25,M,White,Straight,Construction Worker,Pensacola,Florida,1
23,Survivor: South Pacific,Semhar,Tadesse,24,1986-09-12,F,African American,Straight,Spoken Word Artist,Los Angeles,California,18
23,Survivor: South Pacific,Mark,Caruso,48,1963-07-07,M,White,LGBT,Retired NYPD Detective,Forest Hills,New York,17
23,Survivor: South Pacific,Stacey,Powell,44,1967-11-21,F,African American,Straight,Mortician,Grand Prairie,Texas,16
23,Survivor: South Pacific,Elyse,Umemoto,27,1984-05-10,F,Asian American,Straight,Dance Team Manager,Las Vegas,Nevada,15
23,Survivor: South Pacific,Mikayla,Wingle,22,1989-05-31,F,White,Straight,Lingerie Football Player,Tampa,Florida,14
23,Survivor: South Pacific,Christine,Shields,39,1971-06-17,F,Latin American,Straight,Teacher,Merrick,New York,13
23,Survivor: South Pacific,Jim,Rice,35,1975-09-14,M,White,Straight,Medical Marijuana Dispenser,Denver,Colorado,12
23,Survivor: South Pacific,Keith,Tollefson,26,1985-10-01,M,White,Straight,Water Treatment Technician,Edina,Minnesota,11
23,Survivor: South Pacific,Dawn,Meehan,41,1970-06-29,F,White,Straight,English Profressor,South Jordan,Utah,10
23,Survivor: South Pacific,Whitney,Duncan,26,1984-08-03,F,White,Straight,Country Music Singer,Nashville,Tennessee,9
23,Survivor: South Pacific,John,Cochran,24,1987-01-17,M,White,Straight,Harvard Law Student,Washington DC,District of Columbia,8
23,Survivor: South Pacific,Edna,Ma,35,1975-08-22,F,Asian American,Straight,Anesthesiologist,Los Angeles,California,7
23,Survivor: South Pacific,Brandon,Hantz,19,1991-10-15,M,White,Straight,Oil Tanker Crewman,Katy,Texas,6
23,Survivor: South Pacific,Rick,Nelson,51,1959-10-24,M,White,Straight,Rancher,Aurora,Utah,5
23,Survivor: South Pacific,Ozzy,Lusth,30,1981-08-23,M,Latin American,LGBT,Photographer,Venice,California,4
23,Survivor: South Pacific,Albert,Destrade,26,1985-03-31,M,Latin American,Straight,Baseball/Dating Coach,Plantation,Florida,3
23,Survivor: South Pacific,Coach,Wade,39,1971-09-18,M,White,Straight,Soccer Coach/Musician,Susanville,California,2
23,Survivor: South Pacific,Sophie,Clarke,22,1989-07-10,F,White,Straight,Medical Student,Willsboro,New York,1
24,Survivor: One World,Kourtney,Moon,29,1982-02-27,F,White,Straight,Motorcycle Repairwoman,Austin,Texas,18
24,Survivor: One World,Nina,Acosta,51,1960-04-03,F,White,Straight,Retired LAPD Officer,Clovis,California,17
24,Survivor: One World,Matt,Quinlan,33,1978-04-05,M,White,Straight,Attorney,San Francisco,California,16
24,Survivor: One World,Bill,Posley,28,1983-09-28,M,African American,LGBT,Stand-Up Comedian,Venice,California,15
24,Survivor: One World,Monica,Culpepper,41,1970-06-15,F,White,Straight,Ex-NFL Player's Wife,Tampa,Florida,14
24,Survivor: One World,Colton,Cumbie,21,1990-11-22,M,White,LGBT,Student,Monroeville,Alabama,13
24,Survivor: One World,Jonas,Otsuji,37,1974-03-25,M,Asian American,Straight,Sushi Chef,Lehi,Utah,12
24,Survivor: One World,Michael,Jefferson,30,1981-08-29,M,White,Straight,Banker,Seattle,Washington,11
24,Survivor: One World,Jay,Byars,25,1986-11-05,M,White,Straight,Model,Gaffney,South Carolina,10
24,Survivor: One World,Leif,Manson,27,1984-02-01,M,White,Straight,Phlebotomist,San Diego,California,9
24,Survivor: One World,Troyzan,Robertson,50,1961-07-30,M,White,Straight,Swimsuit Photographer,Miami,Florida,8
24,Survivor: One World,Kat,Edorsson,22,1989-06-22,F,White,Straight,Timeshare Representative,Orlando,Florida,7
24,Survivor: One World,Tarzan,Smith,64,1947-12-12,M,White,Straight,Plastic Surgeon,Houston,Texas,6
24,Survivor: One World,Alicia,Rosa,25,1987-01-11,F,Latin American,Straight,Special Education Teacher,Chicago,Illinois,5
24,Survivor: One World,Christina,Cha,29,1982-09-26,F,Asian American,Straight,Career Consultant,West Hollywood,California,4
24,Survivor: One World,Chelsea,Meissner,26,1985-06-13,F,White,Straight,Medical Saleswoman,Charleston,South Carolina,3
24,Survivor: One World,Sabrina,Thompson,33,1978-03-06,F,African American,Straight,High School Teacher,Brooklyn,New York,2
24,Survivor: One World,Kim,Spradlin-Wolfe,29,1983-01-30,F,White,Straight,Bridal Shop Owner,San Antonio,Texas,1
25,Survivor: Philippines,Zane,Knight,28,1984-02-20,M,White,Straight,Tire Repairman,Danville,Virginia,18
25,Survivor: Philippines,Roxy,Morris,28,1984-06-03,F,African American,Straight,Seminary Student,Brooklyn,New York,17
25,Survivor: Philippines,Angie,Layton,20,1991-10-08,F,White,Straight,Model/Student,Provo,Utah,16
25,Survivor: Philippines,Russell,Swan,45,1967-02-17,M,African American,Straight,Attorney,Glenside,Pennsylvania,15
25,Survivor: Philippines,Dana,Lambert,32,1979-12-13,F,White,LGBT,Cosmetologist,Winston-Salem,North Carolina,14
25,Survivor: Philippines,Sarah,Dawson,28,1983-11-15,F,African American,Straight,Insurance Saleswoman,Silver Spring,Maryland,13
25,Survivor: Philippines,Katie,Hanson,22,1989-11-29,F,White,Straight,Former Miss Delaware,Newark,Delaware,12
25,Survivor: Philippines,R.C.,Saint-Amour,27,1985-05-10,F,White,Straight,Investment Banker,New York,New York,11
25,Survivor: Philippines,Jeff,Kent,44,1968-03-07,M,White,Straight,Former MLB Player,Austin,Texas,10
25,Survivor: Philippines,Artis,Silvester,53,1959-04-18,M,African American,Straight,Computer Engineer,Terrytown,Louisiana,9
25,Survivor: Philippines,Pete,Yurkowski,24,1988-03-03,M,White,Straight,Engineer Graduate/Model,Holmdel,New Jersey,8
25,Survivor: Philippines,Jonathan,Penner,50,1962-03-05,M,White,Straight,Writer,Los Angeles,California,7
25,Survivor: Philippines,Carter,Williams,24,1987-05-26,M,White,Straight,Track Coach,Shawnee,Kansas,6
25,Survivor: Philippines,Abi-Maria,Gomes,32,1979-10-21,F,Latin American,Straight,Business Student,Los Angeles,California,5
25,Survivor: Philippines,Malcolm,Freberg,25,1987-05-07,M,White,Straight,Bartender,Hermosa Beach,California,4
25,Survivor: Philippines,Lisa,Whelchel,49,1963-05-29,F,White,Straight,Former TV Teen Star,Dallas,Texas,2
25,Survivor: Philippines,Michael,Skupin,50,1962-01-29,M,White,Straight,Professional Speaker,White Lake,Michigan,2
25,Survivor: Philippines,Denise,Stapley,41,1971-01-01,F,White,Straight,Sex Therapist,Cedar Rapids,Iowa,1
26,Survivor: Caramoan,Francesca,Hogi,38,1974-11-03,F,African American,Straight,Attorney,Brooklyn,New York,20
26,Survivor: Caramoan,Allie,Pohevitz,25,1987-12-24,F,White,Straight,Bartender,Oceanside,New York,19
26,Survivor: Caramoan,Hope,Driskill,23,1989-07-06,F,White,Straight,Pre-Law Student,Jefferson City,Missouri,18
26,Survivor: Caramoan,Shamar,Thomas,27,1985-09-27,M,African American,Straight,Iraq War Veteran,Brooklyn,New York,17
26,Survivor: Caramoan,Laura,Alexander,23,1989-09-12,F,White,Straight,Administrative Officer,Washington DC,District of Columbia,16
26,Survivor: Caramoan,Brandon,Hantz,21,1991-10-15,M,White,Straight,Chemical Disposal,Katy,Texas,15
26,Survivor: Caramoan,Matt,Bischoff,38,1974-04-04,M,White,Straight,BMX Bike Salesman,Cincinnati,Ohio,14
26,Survivor: Caramoan,Julia,Landauer,21,1991-11-12,F,White,Straight,Racecar Driver,Stanford,California,13
26,Survivor: Caramoan,Corinne,Kaplan,33,1979-01-17,F,White,Straight,Pharmaceutical Sales,Los Angeles,California,12
26,Survivor: Caramoan,Michael,Snow,44,1968-08-30,M,White,LGBT,Event Planner,New York,New York,11
26,Survivor: Caramoan,Phillip,Sheppard,54,1958-03-12,M,African American,Straight,Software Sales,Santa Monica,California,10
26,Survivor: Caramoan,Malcolm,Freberg,26,1987-05-07,M,White,Straight,Bartender,Hermosa Beach,California,9
26,Survivor: Caramoan,Reynold,Toepfer,30,1982-10-06,M,White,Straight,Real Estate Salesman,San Francisco,California,8
26,Survivor: Caramoan,Andrea,Boehlke,23,1989-05-10,F,White,Straight,Entertainment Host and Writer,New York,New York,7
26,Survivor: Caramoan,Brenda,Lowe,30,1982-11-03,F,Asian American,Straight,Paddleboard Company Owner,Miami,Florida,6
26,Survivor: Caramoan,Erik,Reichenbach,27,1985-11-27,M,White,Straight,Comic Book Artist,Santa Clarita,California,5
26,Survivor: Caramoan,Eddie,Fox,23,1989-04-15,M,White,Straight,Fireman/EMT,East Brunswick,New Jersey,4
26,Survivor: Caramoan,Sherri,Biethman,41,1971-09-09,F,White,Straight,Fast Food Franchisee,Boise,Idaho,2
26,Survivor: Caramoan,Dawn,Meehan,42,1970-06-29,F,White,Straight,English professor,South Jordan,Utah,2
26,Survivor: Caramoan,John,Cochran,25,1987-01-17,M,White,Straight,Harvard Law Student,Washington DC,District of Columbia,1
27,Survivor: Blood vs. Water,Rupert,Boneham,49,1964-01-27,M,White,Straight,Troubled Teens Mentor,Indianapolis,Indiana,20
27,Survivor: Blood vs. Water,Colton,Cumbie,22,1990-11-22,M,White,LGBT,Student Teacher,Monroeville,Alabama,19
